"CHEMICAL_ID_NUMBER","STRIPPED_CHEMICAL_ID_NUMBER","Nat_Agg_PV","Nat_Agg_PPV_2014","Nat_Agg_PPV_2013","Nat_Agg_PPV_2012"
"27697-00-3","27697003","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"27697-51-4","27697514","<1,000,000 lbs","       324,161 lbs","       184,573 lbs","<1,000,000 lbs"
"277055","277055","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"277099","277099","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"277168","277168","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"2772-45-4","2772454","20,000,000 - <100,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"277260","277260","                16,000,000 lbs","    12,000,000 lbs","    15,000,000 lbs","    14,000,000 lbs"
"277373","277373","<1,000,000 lbs","1,000,000 - <20,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"277420","277420","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"277668","277668","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"277737","277737","                   152,698 lbs","        60,615 lbs","       108,758 lbs","       138,196 lbs"
"27774-13-6","27774136","                   210,831 lbs","       211,450 lbs","       227,616 lbs","       200,616 lbs"
"277748","277748","<1,000,000 lbs","<1,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"27775-00-4","27775004","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"27776-01-8","27776018","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"27776-21-2","27776212","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"2778-42-9","2778429","                11,627,472 lbs","     2,201,218 lbs","     2,254,227 lbs","     2,478,546 lbs"
"277884","277884","                    36,870 lbs","        35,977 lbs","        41,639 lbs","        31,448 lbs"
"277895","277895","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"2778-96-3","2778963","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"277908","277908","<1,000,000 lbs","             0 lbs","             0 lbs","             0 lbs"
"27794-93-0","27794930","500,000 - <1,000,000 lbs","500,000 - <1,000,000 lbs","100,000 - <500,000 lbs","<1,000,000 lbs"
