CHEMICAL NAME,CHEMICAL ID,CHEMICAL ID W/O DASHES,CHEMICAL ID TYPE,2019 NATIONALLY AGGREGATED PV,2018 NATIONALLY AGGREGATED PV,2017 NATIONALLY AGGREGATED PV,2016 NATIONALLY AGGREGATED PV
"Benzene, 1,2,3,4-tetramethyl-",488-23-3,488233,CASRN,0,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"2-Naphthalenecarboxamide, 4-[[4-(diethylamino)phenyl]imino]-1,4-dihydro-N-methyl-1-oxo-",4899-82-5,4899825,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"1,5,9-Cyclododecatriene",4904-61-4,4904614,CASRN,0,"<1,000,000 lb","<1,000,000 lb","1,000,000 lb - <20,000,000 lb"
"1,2-Cyclohexanedicarboxylic acid, calcium salt (1:1), (1R,2S)-rel-",491589-22-1,491589221,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"4H-Pyran-4-one, 2-ethyl-3-hydroxy-",4940-11-8,4940118,CASRN,"500,000 - <1,000,000 lb","1,000,000 - <10,000,000 lb","500,000 - <1,000,000 lb","500,000 - <1,000,000 lb"
"Anthra[2,1,9-def:6,5,10-d'e'f']diisoquinoline-1,3,8,10(2H,9H)-tetrone, 2,9-bis(3,5-dimethylphenyl)-",4948-15-6,4948156,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Bicyclo[3.1.1]heptan-2-ol, 2,6,6-trimethyl-, (1R,2R,5S)-rel-",4948-29-2,4948292,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","1,000,000 lb - <20,000,000 lb"
"1,3-Benzenediamine, 4-(2-phenyldiazenyl)-",495-54-5,495545,CASRN,"48,930","103,840","85,800","29,260"
"Neodecanoic acid, tin(2+) salt (2:1)",49556-16-3,49556163,CASRN,0,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
Dibutoxyethyl esters of aliphatic dibasic acids,49593,49593,Accession Number,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Imidazo[4,5-d]imidazole-2,5(1H,3H)-dione, tetrahydro-",496-46-8,496468,CASRN,"<1,000,000 lb","100,000 - <500,000 lb","<1,000,000 lb","<1,000,000 lb"
"1,2-Benzenediamine, 4-methyl-",496-72-0,496720,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","<1,000,000 lb","1,000,000 lb - <20,000,000 lb"
"2-Pyridinecarboxylic acid, 4,5,6-trichloro-",496849-77-5,496849775,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"2-Imidazolidinone, 4,5-dihydroxy-1-(hydroxymethyl)-3-octadecyl-",49686-00-2,49686002,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
Carbonic dihydrazide,497-18-7,497187,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
Carbonic acid sodium salt (1:2),497-19-8,497198,CASRN,"20,000,000,000 - <30,000,000,000 lb","20,000,000,000 - <30,000,000,000 lb","20,000,000,000 - <30,000,000,000 lb","20,000,000,000 - <30,000,000,000 lb"
"Phenol, 2,4-bis(1,1-dimethylethyl)-5-methyl-",497-39-2,497392,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"2-Benzothiazolesulfenamide, N,N-dicyclohexyl-",4979-32-2,4979322,CASRN,"2,817,795","1,000,000 lb - <20,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb"
"Benzoic acid, 4-(1,1-dimethylethyl)-, zinc salt (2:1)",4980-54-5,4980545,CASRN,"20,578","20,959","24,500","24,703"
"Ethanol, 2,2'-[(3-aminopropyl)imino]bis-",4985-85-7,4985857,CASRN,"<1,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","<1,000,000 lb"
"2-Propenoic acid, 1,1'-[2,2-bis[[(1-oxo-2-propen-1-yl)oxy]methyl]-1,3-propanediyl] ester",4986-89-4,4986894,CASRN,"500,000 - <1,000,000 lb","500,000 - <1,000,000 lb","1,000,000 - <10,000,000 lb","500,000 - <1,000,000 lb"
"Cyclohexanemethanol, .alpha.,.alpha.,4-trimethyl-",498-81-7,498817,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
