CHEMICAL NAME,CHEMICAL ID,CHEMICAL ID W/O DASHES,CHEMICAL ID TYPE,2019 NATIONALLY AGGREGATED PV,2018 NATIONALLY AGGREGATED PV,2017 NATIONALLY AGGREGATED PV,2016 NATIONALLY AGGREGATED PV
"Benzenamine, 4-nitro-",100-01-6,100016,CASRN,"<1,000,000 lb","<1,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"Pentadecane, 7-methylene-, mixed with 1-tetradecene, dimers and trimers, hydrogenated",1000172-11-1,1000172111,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Nonadecane, 9-methylene-, mixed with 1-decene, dimers and trimers, hydrogenated",1000172-32-6,1000172326,CASRN,"130,000","2,542,800",0,0
"Silicic acid (H2SiO3), potassium salt (1:2)",10006-28-7,10006287,CASRN,"319,540","271,383","267,588","114,669"
"Urea, N-(hydroxymethyl)-",1000-82-4,1000824,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Zinc, bis[O-(1-methylethyl) carbonodithioato-.kappa.S,.kappa.S']-, (T-4)-",1000-90-4,1000904,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Benzaldehyde, 4-(dimethylamino)-",100-10-7,100107,CASRN,"<1,000,000 lb",0,0,0
"Carbamic acid, N-[(butylthio)thioxomethyl]-, butyl ester",1001320-38-2,1001320382,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"4-Octanol, 3-amino-",1001354-72-8,1001354728,CASRN,"844,879","539,240","824,126","647,189"
"1-Propanone, 2-hydroxy-2-methyl-, 1-(4-C10-13-alkylphenyl) derivs.",1001416-18-7,1001416187,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Benzenamine, N-methyl-4-nitro-",100-15-2,100152,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
.alpha.-Cyclodextrin,10016-20-3,10016203,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Ethanol, 2,2',2''-nitrilotris-, phosphate (1:?)",10017-56-8,10017568,CASRN,"130,173","102,836","106,952","126,849"
"2,7-Anthracenedisulfonic acid, 9,10-dihydro-9,10-dioxo-, sodium salt (1:?)",10017-59-1,10017591,CASRN,"168,180","207,900","295,555","51,197"
"Benzene, 1,4-bis(1-methylethyl)-",100-18-5,100185,CASRN,"20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb"
"1,4-Benzenedicarbonyl dichloride",100-20-9,100209,CASRN,"20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb"
"1,4-Benzenedicarboxylic acid",100-21-0,100210,CASRN,"5,000,000,000 - <10,000,000,000 lb","5,000,000,000 - <10,000,000,000 lb","5,000,000,000 - <10,000,000,000 lb","5,000,000,000 - <10,000,000,000 lb"
"Nitric acid, barium salt (2:1)",10022-31-8,10022318,CASRN,"500,000 - <1,000,000 lb","500,000 - <1,000,000 lb","100,000 - <500,000 lb","<1,000,000 lb"
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, manganese salt (1:?)",10024-66-5,10024665,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
Neodymium chloride (NdCl3),10024-93-8,10024938,CASRN,"75,000","13,000","81,000",0
Nitrogen oxide (N2O),10024-97-2,10024972,CASRN,"500,000 - <1,000,000 lb","500,000 - <1,000,000 lb","500,000 - <1,000,000 lb","20,000,000 lb - <100,000,000 lb"
Sulfur chloride (S2Cl2),10025-67-9,10025679,CASRN,"10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb"
"Silane, trichloro-",10025-78-2,10025782,CASRN,"1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb"
Phosphoric trichloride,10025-87-3,10025873,CASRN,"10,000,000 - <50,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb"
"Silane, tetrachloro-",10026-04-7,10026047,CASRN,"≥ 1,000,000,000 lb","≥ 1,000,000,000 lb","≥ 1,000,000,000 lb","≥ 1,000,000,000 lb"
"Zirconium chloride (ZrCl4), (T-4)-",10026-11-6,10026116,CASRN,"20,000,000 lb - <100,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"Sulfuric acid, cobalt(2+) salt (1:1), heptahydrate",10026-24-1,10026241,CASRN,"12,785",792,"3,790",528
"Decanoic acid, sodium salt (1:1)",1002-62-6,1002626,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Ethane, 1-ethoxy-2-(2-methoxyethoxy)-",1002-67-1,1002671,CASRN,"100,000 - <500,000 lb","100,000 - <500,000 lb","100,000 - <500,000 lb","100,000 - <500,000 lb"
"Decane, 1-chloro-",1002-69-3,1002693,CASRN,"223,500","62,100","168,448","128,675"
"1,3-Benzenedicarboxylic acid, sodium salt (1:2)",10027-33-5,10027335,CASRN,"30,000","32,000","32,000","37,000"
"Sulfuric acid, iron(3+) salt (3:2)",10028-22-5,10028225,CASRN,"500,000,000 - <750,000,000 lb","250,000,000 - <500,000,000 lb","250,000,000 - <500,000,000 lb","250,000,000 - <500,000,000 lb"
Pentadecanoic acid,1002-84-2,1002842,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"Octadecanoic acid, ammonium salt (1:1)",1002-89-7,1002897,CASRN,"490,186","483,722","542,450","510,576"
"Molybdenum, borate neodecanoate oxo complexes",1003300-72-8,1003300728,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Silicic acid (H4SiO4), calcium salt (1:2)",10034-77-2,10034772,CASRN,"20,000,000,000 - <30,000,000,000 lb","20,000,000,000 - <30,000,000,000 lb","20,000,000,000 - <30,000,000,000 lb","20,000,000,000 - <30,000,000,000 lb"
Hydriodic acid,10034-85-2,10034852,CASRN,"500,000 - <1,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb"
"Sulfuric acid, manganese(2+) salt (1:1) monohydrate",10034-96-5,10034965,CASRN,0,0,0,"88,000"
Hydrobromic acid,10035-10-6,10035106,CASRN,"100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb"
"Ethanol, 2-(diethylamino)-",100-37-8,100378,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"Germane, tetrachloro-",10038-98-9,10038989,CASRN,"91,704","119,214","108,098","90,357"
"Hydroxylamine, sulfate (2:1)",10039-54-0,10039540,CASRN,"100,000,000 lb - <1,000,000,000 lb","100,000,000 lb - <1,000,000,000 lb","100,000,000 lb - <1,000,000,000 lb","100,000,000 lb - <1,000,000,000 lb"
"1-Propanamine, 3-(triethoxysilyl)-, reaction products with wollastonite (Ca(SiO3))",100402-75-3,100402753,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"2-Propenoic acid, 2-methyl-, 3-(trimethoxysilyl)propyl ester, reaction products with silica",100402-78-6,100402786,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"2-Propenoic acid, 2-methyl-, 3-(trimethoxysilyl)propyl ester, reaction products with wollastonite (Ca(SiO3))",100402-82-2,100402822,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Oxirane, 2-[[3-(trimethoxysilyl)propoxy]methyl]-, reaction products with wollastonite (Ca(SiO3))",100402-91-3,100402913,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"Cyclohexene, 4-ethenyl-",100-40-3,100403,CASRN,"8,280,246","11,433,756","8,945,986","1,000,000 lb - <20,000,000 lb"
"Benzene, ethyl-",100-41-4,100414,CASRN,"10,000,000,000 - <20,000,000,000 lb","10,000,000,000 - <20,000,000,000 lb","10,000,000,000 - <20,000,000,000 lb","10,000,000,000 - <20,000,000,000 lb"
"Morpholine, 4-(1-methylethyl)-",1004-14-4,1004144,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Benzene, ethenyl-",100-42-5,100425,CASRN,"10,000,000,000 - <20,000,000,000 lb","10,000,000,000 - <20,000,000,000 lb","10,000,000,000 - <20,000,000,000 lb","10,000,000,000 - <20,000,000,000 lb"
"1-Heptanol, 2-propyl-",10042-59-8,10042598,CASRN,"20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"Nitric acid, strontium salt (2:1)",10042-76-9,10042769,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb"
"Distillates, hydrocracked tallow, C9-20",1004294-95-4,1004294954,CASRN,"207,431,466","184,009,162","178,546,118","176,212,800"
"Sulfuric acid, aluminum salt (3:2)",10043-01-3,10043013,CASRN,"1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb"
Boron nitride (BN),10043-11-5,10043115,CASRN,"1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb"
Boric acid (H3BO3),10043-35-3,10043353,CASRN,"500,000,000 - <750,000,000 lb","750,000,000 - <1,000,000,000 lb","500,000,000 - <750,000,000 lb","500,000,000 - <750,000,000 lb"
Calcium chloride (CaCl2),10043-52-4,10043524,CASRN,"1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb"
"Pyridine, 4-ethenyl-",100-43-6,100436,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Sulfuric acid, aluminum potassium salt (2:1:1)",10043-67-1,10043671,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Phosphinic acid, manganese(2+) salt (2:1)",10043-84-2,10043842,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Benzene, (chloromethyl)-",100-44-7,100447,CASRN,"20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb"
"Phosphoric acid, iron(3+) salt (1:1)",10045-86-0,10045860,CASRN,"8,913,228","42,039,298","1,367,349","264,111"
"Nitric acid, neodymium(3+) salt (3:1)",10045-95-1,10045951,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
Benzenemethanamine,100-46-9,100469,CASRN,"25,000 - <100,000 lb","25,000 - <100,000 lb","25,000 - <100,000 lb","25,000 - <100,000 lb"
4-Pyridinecarbonitrile,100-48-1,100481,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","1,000,000 lb - <20,000,000 lb"
"Phosphoric acid, barium salt (1:1)",10048-98-3,10048983,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
Chlorine oxide (ClO2),10049-04-4,10049044,CASRN,"1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb"
Rhodium chloride (RhCl3),10049-07-7,10049077,CASRN,"26,817","25,474","15,506","8,718"
"Boric acid (H3BO3), compd. with 2,2',2''-nitrilotris[ethanol] (1:?)",10049-36-2,10049362,CASRN,"500,000 - <1,000,000 lb","500,000 - <1,000,000 lb","500,000 - <1,000,000 lb","1,000,000 - <10,000,000 lb"
Benzenemethanol,100-51-6,100516,CASRN,"10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb"
Benzaldehyde,100-52-7,100527,CASRN,"20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb"
"1-Decanamine, N-decyl-N-methyl-, N-oxide",100545-50-4,100545504,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
3-Pyridinecarbonitrile,100-54-9,100549,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Morpholine, 4-butyl-",1005-67-0,1005670,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Diphosphoric acid, iron(3+) salt (3:4)",10058-44-3,10058443,CASRN,0,"<1,000,000 lb","1,000,000 lb - <20,000,000 lb","<1,000,000 lb"
"Magnesium, chlorophenyl-",100-59-4,100594,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"1-Propene, 1,3-dichloro-, (Z)-",10061-01-5,10061015,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Benzenamine, N-methyl-",100-61-8,100618,CASRN,"1,000,000 lb - <20,000,000 lb","<1,000,000 lb","1,000,000 lb - <20,000,000 lb","<1,000,000 lb"
"Benzene, methoxy-",100-66-3,100663,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Pyridine, 2-ethenyl-",100-69-6,100696,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
2-Pyridinecarbonitrile,100-70-9,100709,CASRN,"1,000,000 lb - <20,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Morpholine, 4-ethyl-",100-74-3,100743,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Pyridinium, 1-(phenylmethyl)-, alkyl derivs., chlorides",100765-57-9,100765579,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb"
"1,3-Dioxolane-4-methanol, 2,2-dimethyl-",100-79-8,100798,CASRN,"1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 lb - <20,000,000 lb"
"Fatty acids, C18-unsatd., dimers, compds. with alkylpyridines",100816-02-2,100816022,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Benzenamine, 4-(1-methyl-1-phenylethyl)-N-[4-(1-methyl-1-phenylethyl)phenyl]-",10081-67-1,10081671,CASRN,"500,000 - <1,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","500,000 - <1,000,000 lb"
"Benzenesulfonic acid, 2-formyl-, sodium salt (1:1)",1008-72-6,1008726,CASRN,"<1,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"Butanoic acid, 1,1-dimethyl-2-phenylethyl ester",10094-34-5,10094345,CASRN,"100,000 - <500,000 lb","100,000 - <500,000 lb","100,000 - <500,000 lb","100,000 - <500,000 lb"
"13-Docosenamide, N-octadecyl-, (13Z)-",10094-45-8,10094458,CASRN,"1,348,984","1,811,711","1,403,037","2,111,775"
"Benzenepropanal, .alpha.,.alpha.-dimethyl-",1009-62-7,1009627,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"1,3,5,7-Tetraazatricyclo[3.3.1.13,7]decane",100-97-0,100970,CASRN,"50,000,000 - <100,000,000 lb","50,000,000 - <100,000,000 lb","50,000,000 - <100,000,000 lb","50,000,000 - <100,000,000 lb"
"Urea, N,N''-(methylenedi-4,1-phenylene)bis[N',N'-dimethyl-",10097-09-3,10097093,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Aluminum, tris(2-methylpropyl)-",100-99-2,100992,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"Cyclotrisilazane, 2,2,4,4,6,6-hexamethyl-",1009-93-4,1009934,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
Lanthanum chloride (LaCl3),10099-58-8,10099588,CASRN,"10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb"
"Nitric acid, lanthanum(3+) salt (3:1)",10099-59-9,10099599,CASRN,"20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb"
"2-Butenedioic acid (2Z)-, 1,4-dipentyl ester",10099-71-5,10099715,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Nitric acid, lead(2+) salt (2:1)",10099-74-8,10099748,CASRN,"100,000 - <500,000 lb","100,000 - <500,000 lb","500,000 - <1,000,000 lb","500,000 - <1,000,000 lb"
"Silicic acid (H2SiO3), lead(2+) salt (1:1)",10099-76-0,10099760,CASRN,"43,387","79,976","45,792","259,541"
"Silicic acid (H2SiO3), calcium salt (1:1)",10101-39-0,10101390,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Permanganic acid (HMnO4), sodium salt",10101-50-5,10101505,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"Silicic acid (H4SiO4), zirconium(4+) salt (1:1)",10101-52-7,10101527,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Diphosphoric acid, ammonium manganese(3+) salt (1:1:1)",10101-66-3,10101663,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Phosphoric acid, trisodium salt, dodecahydrate",10101-89-0,10101890,CASRN,"292,602","100,000 - <500,000 lb","124,068","201,488"
"Phosphorous acid, triphenyl ester",101-02-0,101020,CASRN,"10,000,000 - <50,000,000 lb","100,000,000 lb - <1,000,000,000 lb","100,000,000 lb - <1,000,000,000 lb","100,000,000 lb - <1,000,000,000 lb"
"Nitric acid, palladium(2+) salt (2:1)",10102-05-3,10102053,CASRN,"500,000 - <1,000,000 lb","500,000 - <1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Thiosulfuric acid (H2S2O3), disodium salt, pentahydrate",10102-17-7,10102177,CASRN,"6,534,372","376,983","125,661","41,887"
"Selenious acid, sodium salt (1:2)",10102-18-8,10102188,CASRN,"116,765","114,490","113,745","123,324"
"Molybdate (MoO42-), disodium, dihydrate, (T-4)-",10102-40-6,10102406,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Diphosphoric acid, copper salt (1:?)",10102-90-6,10102906,CASRN,"658,929","744,172","857,479","688,903"
"Zirconium, tetrakis[2-[bis(2-hydroxyethyl)amino-.kappa.N]ethanolato-.kappa.O]-",101033-44-7,101033447,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Ethanol, 2-[bis(2-ethylhexyl)amino]-",101-07-5,101075,CASRN,"179,832","124,154","131,114","106,390"
"Nitric acid, cerium(3+) salt (3:1)",10108-73-3,10108733,CASRN,"500,000 - <1,000,000 lb","100,000 - <500,000 lb","500,000 - <1,000,000 lb","500,000 - <1,000,000 lb"
"1,4-Benzenedicarboxylic acid, 2,5-bis(phenylamino)-",10109-95-2,10109952,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Benzenesulfonic acid, 3-[(ethylphenylamino)methyl]-",101-11-1,101111,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
Mercury chloride (Hg2Cl2),10112-91-1,10112911,CASRN,"26,683","33,067","30,685","32,724"
"Benzenamine, 4,4'-methylenebis[2-chloro-",101-14-4,101144,CASRN,"1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb"
"Benzenesulfonic acid, 3,3'-[carbonylbis[imino(3-methoxy-4,1-phenylene)-2,1-diazenediyl]]bis-, sodium salt (1:2)",10114-86-0,10114860,CASRN,"18,729","30,864","56,217","46,296"
"2-Propenoic acid, 1,1'-[2-[[(1-oxo-2-propen-1-yl)oxy]methyl]-2-[[[[[[1,3,3-trimethyl-5-[[[3-[(1-oxo-2-propen-1-yl)oxy]-2,2-bis[[(1-oxo-2-propen-1-yl)oxy]methyl]propoxy]carbonyl]amino]cyclohexyl]methyl]amino]carbonyl]oxy]methyl]-1,3-propanediyl] ester",101162-60-1,101162601,CASRN,"100,000 - <500,000 lb","100,000 - <500,000 lb","<1,000,000 lb","25,000 - <100,000 lb"
"Sulfurous acid, potassium salt (1:2)",10117-38-1,10117381,CASRN,"100,000,000 lb - <1,000,000,000 lb","100,000,000 lb - <1,000,000,000 lb","100,000,000 lb - <1,000,000,000 lb","100,000,000 lb - <1,000,000,000 lb"
"Urea, N-(4-chlorophenyl)-N'-(3,4-dichlorophenyl)-",101-20-2,101202,CASRN,0,0,0,"25,794"
"Sulfuric acid, aluminum salt (1:?)",10124-29-5,10124295,CASRN,0,0,"1,605,546","2,096,590"
"Phosphoric acid, ammonium salt (1:?)",10124-31-9,10124319,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"Nitric acid, calcium salt (2:1)",10124-37-5,10124375,CASRN,"250,000,000 - <500,000,000 lb","250,000,000 - <500,000,000 lb","250,000,000 - <500,000,000 lb","250,000,000 - <500,000,000 lb"
"Thiosulfuric acid (H2S2O3), calcium salt (1:1)",10124-41-1,10124411,CASRN,"20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","100,000,000 lb - <1,000,000,000 lb","100,000,000 lb - <1,000,000,000 lb"
"Sulfuric acid, cobalt(2+) salt (1:1)",10124-43-3,10124433,CASRN,"1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 - <10,000,000 lb"
"Thiosulfuric acid (H2S2O3), magnesium salt (1:1)",10124-53-5,10124535,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"Phosphoric acid, manganese salt (1:?)",10124-54-6,10124546,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Metaphosphoric acid (H6P6O18), sodium salt (1:6)",10124-56-8,10124568,CASRN,"258,287",0,"557,737","834,799"
"Dodecanoic acid, potassium salt (1:1)",10124-65-9,10124659,CASRN,"100,000 - <500,000 lb","100,000 - <500,000 lb","<1,000,000 lb","<1,000,000 lb"
"Copper chloride (CuCl2), dihydrate",10125-13-0,10125130,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"1,3,5,7-Tetraazabicyclo[3.3.1]nonane, 3,7-dinitroso-",101-25-7,101257,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","63,493"
"2-Oxetanone, 4-heptadecylidene-3-hexadecyl-",10126-68-8,10126688,CASRN,"20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb"
"Distillates (petroleum), alkene-alkyne manuf. pyrolysis oil, naphthalene fraction",101316-53-4,101316534,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb",0,0
"Tar, brown-coal",101316-83-0,101316830,CASRN,"390,000,000","460,000,000","450,000,000","440,000,000"
"1,3,5-Triazine, 2,4,6-tris(2-propen-1-yloxy)-",101-37-1,101371,CASRN,"100,000 - <500,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Oxirane, 2-ethyl-, polymer with oxirane, mono-C12-14-sec-alkyl ethers",1013910-41-2,1013910412,CASRN,"<1,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"2-Propenal, 2-methyl-3-phenyl-",101-39-3,101393,CASRN,"500,000 - <1,000,000 lb","100,000 - <500,000 lb","100,000 - <500,000 lb","100,000 - <500,000 lb"
"Nitric acid, rhodium(3+) salt (3:1)",10139-58-9,10139589,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Nitric acid, cobalt(2+) salt (2:1)",10141-05-6,10141056,CASRN,"1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb"
"Urea, N,N-dimethyl-N'-phenyl-",101-42-8,101428,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"2-Propenoic acid, 2-methyl-, cyclohexyl ester",101-43-9,101439,CASRN,"1,000,000 - <10,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"Benzene, (2,2-dimethoxyethyl)-",101-48-4,101484,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"1,4-Benzenediamine, N1-phenyl-",101-54-2,101542,CASRN,"10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb"
"Carbamic acid, N,N'-(methylenedi-4,1-phenylene)bis-, C,C'-diphenyl ester",101-65-5,101655,CASRN,"356,500","203,500","214,252","608,375"
"Cyanic acid, C,C'-[methylenebis(2,6-dimethyl-4,1-phenylene)] ester",101657-77-6,101657776,CASRN,"136,710","181,196","100,548","139,962"
"Benzenamine, 4-octyl-N-(4-octylphenyl)-",101-67-7,101677,CASRN,"460,784","474,067","295,189","265,558"
"Benzene, 1,1'-methylenebis[4-isocyanato-",101-68-8,101688,CASRN,"750,000,000 - <1,000,000,000 lb","500,000,000 - <750,000,000 lb","750,000,000 - <1,000,000,000 lb","750,000,000 - <1,000,000,000 lb"
"1,4-Benzenediamine, N1-(1-methylethyl)-N4-phenyl-",101-72-4,101724,CASRN,"100,000 - <500,000 lb","100,000 - <500,000 lb","500,000 - <1,000,000 lb","100,000 - <500,000 lb"
